 534 DT	the
   2 NNP	life
   2 NNP	let
   2 NNP	labor
   2 NNP	john
   2 NNP	j.
   2 NNP	hud
   2 NNP	gray
   2 NNP	george
   2 NNP	gardel
   2 NNP	football
   2 NNP	food
   2 NNP	fernando
   2 NNP	eugene
   2 NNP	donald
   2 NNP	dominion
   2 NNP	d.
   2 NNP	cryer
   2 NNP	committee
   2 NNP	code
   2 NNP	chapter
   2 NNP	bush
   2 NNP	borges
   2 NNP	bankruptcy
   2 NNP	banker
   2 NNP	bank
   2 NNP	bach
   2 NNP	astor
   2 NNP	airport
   2 NN	writer
   2 NN	week
   2 NN	volume
   2 NN	transportation
   2 NN	tender
   2 NN	team
   2 NN	sunlight
   2 NN	suggestion
   2 NN	subject
   2 NN	stake
   2 NN	spokesman
   2 NN	speech
   2 NN	speculation
   2 NN	situation
   2 NN	single-day
   2 NN	singing
   2 NN	settlement
   2 NN	sentencing
   2 NN	sense
   2 NN	season
   2 NN	science
   2 NN	right
   2 NN	revenue
   2 NN	result
   2 NN	restructuring
   2 NN	research
   2 NN	refrigerant
   2 NN	ratio
   2 NN	purchase
   2 NN	psychology
   2 NN	protection
   2 NN	production
   2 NN	prize
   2 NN	period
   2 NN	opposition
   2 NN	oil
   2 NN	offering
   2 NN	occasion
   2 NN	nose
   2 NN	month
   2 NN	manager
   2 NN	limit
   2 NN	landing
   2 NN	labor
   2 NN	industry
   2 NN	imposition
   2 NN	impact
   2 NN	holding
   2 NN	history
   2 NN	guitar
   2 NN	gaming
   2 NN	future
   2 NN	figure
   2 NN	favor
   2 NN	fact
   2 NN	effort
   2 NN	drama
   2 NN	dollar
   2 NN	division
   2 NN	distribution
   2 NN	director
   2 NN	delay
   2 NN	dam
   2 NN	court
   2 NN	control
   2 NN	consumer
   2 NN	construction
   2 NN	committee
   2 NN	club
   2 NN	center
   2 NN	carrier
   2 NN	book
   2 NN	bass
   2 NN	band
   2 NN	arm
   2 NN	appropriation
   2 NN	analyst
   2 NN	analysis
   2 NN	ambassador
   2 NN	afternoon
   2 NN	advantage
   2 NN	advance
   2 NN	addition
   2 MD	'd
   2 JJR	older
   2 JJR	larger
   2 JJR	cleaner
   2 JJR	better
   2 JJ	vast
   2 JJ	unfair
   2 JJ	tough
   2 JJ	top
   2 JJ	tax-loss
   2 JJ	sweeping
   2 JJ	subsidized
   2 JJ	small
   2 JJ	single
   2 JJ	safe
   2 JJ	retail
   2 JJ	responsible
   2 JJ	public
   2 JJ	profitable
   2 JJ	polish
   2 JJ	one-year
   2 JJ	nonunion
   2 JJ	nonprofit
   2 JJ	natural
   2 JJ	national
   2 JJ	martial
   2 JJ	male
   2 JJ	low
   2 JJ	legal
   2 JJ	important
   2 JJ	historical
   2 JJ	fourth-quarter
   2 JJ	feminist
   2 JJ	famous
   2 JJ	extraordinary
   2 JJ	exercisable
   2 JJ	effective
   2 JJ	economic
   2 JJ	due
   2 JJ	discriminate
   2 JJ	diplomatic
   2 JJ	different
   2 JJ	current
   2 JJ	costly
   2 JJ	correct
   2 JJ	composite
   2 JJ	coal-burning
   2 JJ	clear
   2 JJ	certain
   2 JJ	casual
   2 JJ	bullish
   2 JJ	back
   2 JJ	artistic
   2 JJ	anti-takeover
   2 JJ	anti-missile
   2 JJ	administrative
   2 JJ	acidic
   2 JJ	acid-rain
   2 IN	while
   2 IN	near
   2 IN	below
   2 IN	although
   2 CD	bygone
   2 CD	75.23
   2 CD	6.6
   2 CD	6
   2 CD	51
   2 CD	40
   2 CD	37.5
   2 CD	3.7
   2 CD	3.3
   2 CD	1985
   2 CD	1983
   2 CD	1981
   2 CD	1980
   2 CD	16
   2 CD	15
   2 CD	12
   2 CD	1.6
   2 CC	neither
   2 AUXG	having
   1 VBZ	wears
   1 VBZ	verges
   1 VBZ	turns
   1 VBZ	takes
   1 VBZ	suggests
   1 VBZ	stems
   1 VBZ	stands
   1 VBZ	requires
   1 VBZ	represents
   1 VBZ	reflects
   1 VBZ	recalls
   1 VBZ	reaches
   1 VBZ	produces
   1 VBZ	prefers
   1 VBZ	plays
   1 VBZ	plans
   1 VBZ	owns
   1 VBZ	needs
   1 VBZ	meets
   1 VBZ	means
   1 VBZ	lets
   1 VBZ	leaves
   1 VBZ	leads
   1 VBZ	laments
   1 VBZ	knows
   1 VBZ	influences
   1 VBZ	holds
   1 VBZ	happens
   1 VBZ	handles
   1 VBZ	handicaps
   1 VBZ	goes
   1 VBZ	gets
   1 VBZ	freezes
   1 VBZ	forms
   1 VBZ	follows
   1 VBZ	exists
   1 VBZ	estimates
   1 VBZ	envies
   1 VBZ	ends
   1 VBZ	edits
   1 VBZ	distributes
   1 VBZ	differs
   1 VBZ	despises
   1 VBZ	describes
   1 VBZ	deals
   1 VBZ	constitutes
   1 VBZ	charges
   1 VBZ	brings
   1 VBZ	argues
   1 VBZ	alleges
   1 VBZ	agrees
   1 VBP	stand
   1 VBP	seem
   1 VBP	roam
   1 VBP	range
   1 VBP	play
   1 VBP	move
   1 VBP	like
   1 VBP	leak
   1 VBP	insist
   1 VBP	hear
   1 VBP	handle
   1 VBP	go
   1 VBP	give
   1 VBP	find
   1 VBP	feel
   1 VBP	face
   1 VBP	express
   1 VBP	expire
   1 VBP	cross
   1 VBP	cover
   1 VBP	come
   1 VBP	change
   1 VBP	care
   1 VBP	benefit
   1 VBP	believe
   1 VBP	await
   1 VBP	assume
   1 VBP	appear
   1 VBP	allow
   1 VBP	agree
   1 VBP	account
   1 VBN	zoomed
   1 VBN	worked
   1 VBN	viewed
   1 VBN	unloaded
   1 VBN	twined
   1 VBN	turned
   1 VBN	tied
   1 VBN	threatened
   1 VBN	thought
   1 VBN	taken
   1 VBN	supposed
   1 VBN	succeeded
   1 VBN	struck
   1 VBN	strangled
   1 VBN	staffed
   1 VBN	sprung
   1 VBN	spoken
   1 VBN	spent
   1 VBN	specified
   1 VBN	sought
   1 VBN	sold
   1 VBN	signed
   1 VBN	signaled
   1 VBN	shown
   1 VBN	set
   1 VBN	seen
   1 VBN	scheduled
   1 VBN	revised
   1 VBN	required
   1 VBN	represented
   1 VBN	reopened
   1 VBN	removed
   1 VBN	related
   1 VBN	recovered
   1 VBN	reconciled
   1 VBN	recommended
   1 VBN	read
   1 VBN	quoted
   1 VBN	put
   1 VBN	pushed
   1 VBN	pulled
   1 VBN	published
   1 VBN	proved
   1 VBN	protected
   1 VBN	prompted
   1 VBN	prohibited
   1 VBN	pressed
   1 VBN	presented
   1 VBN	prescient
   1 VBN	preferred
   1 VBN	paid
   1 VBN	owned
   1 VBN	oversold
   1 VBN	overseen
   1 VBN	overemphasized
   1 VBN	outraged
   1 VBN	organized
   1 VBN	opposed
   1 VBN	opened
   1 VBN	occupied
   1 VBN	nominated
   1 VBN	neutralized
   1 VBN	negotiated
   1 VBN	muddied
   1 VBN	maintained
   1 VBN	lost
   1 VBN	led
   1 VBN	known
   1 VBN	kept
   1 VBN	issued
   1 VBN	involved
   1 VBN	invested
   1 VBN	interpreted
   1 VBN	intended
   1 VBN	indicated
   1 VBN	hooted
   1 VBN	honored
   1 VBN	helped
   1 VBN	held
   1 VBN	headed
   1 VBN	halted
   1 VBN	gored
   1 VBN	founded
   1 VBN	forecast
   1 VBN	forced
   1 VBN	filled
   1 VBN	filed
   1 VBN	figured
   1 VBN	feared
   1 VBN	falsified
   1 VBN	faced
   1 VBN	extended
   1 VBN	encouraged
   1 VBN	elected
   1 VBN	distributed
   1 VBN	dissuaded
   1 VBN	dismissed
   1 VBN	discharged
   1 VBN	devastated
   1 VBN	decided
   1 VBN	cut
   1 VBN	criticized
   1 VBN	convicted
   1 VBN	considered
   1 VBN	confined
   1 VBN	commissioned
   1 VBN	claimed
   1 VBN	charged
   1 VBN	caused
   1 VBN	canceled
   1 VBN	called
   1 VBN	burned
   1 VBN	become
   1 VBN	awarded
   1 VBN	authorized
   1 VBN	assumed
   1 VBN	argued
   1 VBN	applied
   1 VBN	advocated
   1 VBN	added
   1 VBN	acquired
   1 VBN	acidified
   1 VBN	accepted
   1 VBN	abused
   1 VBG	writing
   1 VBG	wearing
   1 VBG	waiting
   1 VBG	visiting
   1 VBG	unsmiling
   1 VBG	underlying
   1 VBG	telling
   1 VBG	studying
   1 VBG	starting
   1 VBG	sitting
   1 VBG	shouting
   1 VBG	shaving
   1 VBG	rolling
   1 VBG	rising
   1 VBG	returning
   1 VBG	resuming
   1 VBG	resigning
   1 VBG	researching
   1 VBG	removing
   1 VBG	remaining
   1 VBG	recognizing
   1 VBG	proving
   1 VBG	providing
   1 VBG	proposing
   1 VBG	propelling
   1 VBG	producing
   1 VBG	placing
   1 VBG	ordering
   1 VBG	offering
   1 VBG	moving
   1 VBG	misleading
   1 VBG	mesmerizing
   1 VBG	living
   1 VBG	listing
   1 VBG	lessening
   1 VBG	knitting
   1 VBG	killing
   1 VBG	intervening
   1 VBG	indicating
   1 VBG	improving
   1 VBG	hiring
   1 VBG	haunting
   1 VBG	happening
   1 VBG	funding
   1 VBG	founding
   1 VBG	focusing
   1 VBG	featuring
   1 VBG	falling
   1 VBG	expanding
   1 VBG	existing
   1 VBG	enjoining
   1 VBG	emphasizing
   1 VBG	drumming
   1 VBG	dropping
   1 VBG	discriminating
   1 VBG	dipping
   1 VBG	destroying
   1 VBG	denouncing
   1 VBG	delaying
   1 VBG	defeating
   1 VBG	curving
   1 VBG	crediting
   1 VBG	costing
   1 VBG	coping
   1 VBG	continuing
   1 VBG	confronting
   1 VBG	condescending
   1 VBG	commenting
   1 VBG	cheering
   1 VBG	calling
   1 VBG	building
   1 VBG	buffering
   1 VBG	bringing
   1 VBG	breaking
   1 VBG	attempting
   1 VBG	asking
   1 VBG	arranging
   1 VBG	amounting
   1 VBG	aiding
   1 VBG	adding
   1 VBG	acquiring
   1 VBG	according
   1 VBG	abetting
   1 VBD	wound
   1 VBD	worked
   1 VBD	wanted
   1 VBD	used
   1 VBD	urged
   1 VBD	took
   1 VBD	suggested
   1 VBD	staged
   1 VBD	spent
   1 VBD	snapped
   1 VBD	shed
   1 VBD	set
   1 VBD	seemed
   1 VBD	sang
   1 VBD	reopened
   1 VBD	released
   1 VBD	reimbursed
   1 VBD	refused
   1 VBD	reflected
   1 VBD	recommended
   1 VBD	put
   1 VBD	proved
   1 VBD	propped
   1 VBD	proposed
   1 VBD	produced
   1 VBD	packed
   1 VBD	owned
   1 VBD	occurred
   1 VBD	observed
   1 VBD	named
   1 VBD	misstated
   1 VBD	loved
   1 VBD	lost
   1 VBD	looked
   1 VBD	lived
   1 VBD	learned
   1 VBD	killed
   1 VBD	joined
   1 VBD	introduced
   1 VBD	informed
   1 VBD	included
   1 VBD	imposed
   1 VBD	helped
   1 VBD	heard
   1 VBD	grew
   1 VBD	greeted
   1 VBD	gave
   1 VBD	gained
   1 VBD	felt
   1 VBD	fell
   1 VBD	failed
   1 VBD	existed
   1 VBD	endorsed
   1 VBD	ended
   1 VBD	eclipsed
   1 VBD	earned
   1 VBD	dropped
   1 VBD	dressed
   1 VBD	disclosed
   1 VBD	died
   1 VBD	departed
   1 VBD	declined
   1 VBD	decided
   1 VBD	continued
   1 VBD	consented
   1 VBD	confirmed
   1 VBD	charged
   1 VBD	broke
   1 VBD	battled
   1 VBD	authorized
   1 VBD	argued
   1 VBD	approved
   1 VBD	applied
   1 VBD	accounted
   1 VBD	accepted
   1 VB	win
   1 VB	warrant
   1 VB	wait
   1 VB	veto
   1 VB	urge
   1 VB	train
   1 VB	think
   1 VB	tear
   1 VB	teach
   1 VB	suppose
   1 VB	support
   1 VB	strangle
   1 VB	stage
   1 VB	spend
   1 VB	specify
   1 VB	slash
   1 VB	sing
   1 VB	settle
   1 VB	serve
   1 VB	seek
   1 VB	see
   1 VB	say
   1 VB	run
   1 VB	rock
   1 VB	rise
   1 VB	reverse
   1 VB	return
   1 VB	retrofit
   1 VB	retreat
   1 VB	restore
   1 VB	respond
   1 VB	resort
   1 VB	resolve
   1 VB	require
   1 VB	represent
   1 VB	remove
   1 VB	refuse
   1 VB	reach
   1 VB	raise
   1 VB	put
   1 VB	push
   1 VB	purchase
   1 VB	prove
   1 VB	protest
   1 VB	promote
   1 VB	prevent
   1 VB	prepare
   1 VB	post
   1 VB	pick
   1 VB	own
   1 VB	offer
   1 VB	occur
   1 VB	object
   1 VB	negotiate
   1 VB	modify
   1 VB	mention
   1 VB	mean
   1 VB	manage
   1 VB	like
   1 VB	liberate
   1 VB	let
   1 VB	last
   1 VB	issue
   1 VB	identify
   1 VB	hit
   1 VB	hear
   1 VB	happen
   1 VB	handicap
   1 VB	guess
   1 VB	guarantee
   1 VB	grab
   1 VB	go
   1 VB	gamble
   1 VB	fund
   1 VB	foster
   1 VB	form
   1 VB	follow
   1 VB	find
   1 VB	fill
   1 VB	express
   1 VB	explore
   1 VB	expect
   1 VB	expand
   1 VB	exaggerate
   1 VB	even
   1 VB	establish
   1 VB	ensure
   1 VB	encourage
   1 VB	elicit
   1 VB	drop
   1 VB	drain
   1 VB	divest
   1 VB	distribute
   1 VB	devote
   1 VB	depend
   1 VB	demonstrate
   1 VB	deliver
   1 VB	delay
   1 VB	decline
   1 VB	dance
   1 VB	create
   1 VB	continue
   1 VB	come
   1 VB	choke
   1 VB	cause
   1 VB	break
   1 VB	block
   1 VB	believe
   1 VB	begin
   1 VB	attract
   1 VB	approve
   1 VB	applaud
   1 VB	adjust
   1 VB	act
   1 VB	accomodate
   1 UH	oh
   1 RP	over
   1 RP	on
   1 RP	along
   1 RBR	longer
   1 RBR	further
   1 RBR	earlier
   1 RB	yet
   1 RB	widely
   1 RB	whatsoever
   1 RB	virtually
   1 RB	vigorously
   1 RB	unanimously
   1 RB	tightly
   1 RB	tentatively
   1 RB	surprisingly
   1 RB	supposedly
   1 RB	sufficiently
   1 RB	suddenly
   1 RB	substantially
   1 RB	stupendously
   1 RB	south
   1 RB	somewhere
   1 RB	sexually
   1 RB	right
   1 RB	repeatedly
   1 RB	remarkably
   1 RB	relatively
   1 RB	regardless
   1 RB	recently
   1 RB	rather
   1 RB	rapidly
   1 RB	quickly
   1 RB	purely
   1 RB	prior
   1 RB	previously
   1 RB	pretty
   1 RB	personally
   1 RB	permanently
   1 RB	perhaps
   1 RB	partly
   1 RB	particularly
   1 RB	p.m.
   1 RB	overall
   1 RB	otherwise
   1 RB	once
   1 RB	officially
   1 RB	obviously
   1 RB	nowhere
   1 RB	no
   1 RB	musically
   1 RB	meanwhile
   1 RB	materially
